wavelength_nm,selected_x_px,displacement_px,max_energy,plateau_start_x,plateau_end_x,plateau_width,filepath
451,443,0.000000,20150.400013,443,443,1,scan_blocks_output/Try_diferentes_times/B3_0451_0500/00000_0451nm.npy
453,443,0.000000,20289.400011,443,443,1,scan_blocks_output/Try_diferentes_times/B3_0451_0500/00001_0453nm.npy
455,443,0.000000,17403.999991,443,443,1,scan_blocks_output/Try_diferentes_times/B3_0451_0500/00002_0455nm.npy
457,454,11.000000,17709.600020,454,454,1,scan_blocks_output/Try_diferentes_times/B3_0451_0500/00003_0457nm.npy
459,454,11.000000,17954.800003,454,454,1,scan_blocks_output/Try_diferentes_times/B3_0451_0500/00004_0459nm.npy
461,454,11.000000,17989.000048,454,454,1,scan_blocks_output/Try_diferentes_times/B3_0451_0500/00005_0461nm.npy
463,458,15.000000,18250.599997,458,459,2,scan_blocks_output/Try_diferentes_times/B3_0451_0500/00006_0463nm.npy
465,459,16.000000,18529.799987,459,459,1,scan_blocks_output/Try_diferentes_times/B3_0451_0500/00007_0465nm.npy
467,459,16.000000,18505.600001,459,459,1,scan_blocks_output/Try_diferentes_times/B3_0451_0500/00008_0467nm.npy
469,459,16.000000,18508.600052,459,459,1,scan_blocks_output/Try_diferentes_times/B3_0451_0500/00009_0469nm.npy
471,459,16.000000,18421.999973,459,459,1,scan_blocks_output/Try_diferentes_times/B3_0451_0500/00010_0471nm.npy
473,459,16.000000,18474.800026,459,459,1,scan_blocks_output/Try_diferentes_times/B3_0451_0500/00011_0473nm.npy
475,459,16.000000,18380.000002,459,459,1,scan_blocks_output/Try_diferentes_times/B3_0451_0500/00012_0475nm.npy
477,471,28.000000,18402.800001,471,471,1,scan_blocks_output/Try_diferentes_times/B3_0451_0500/00013_0477nm.npy
479,471,28.000000,18505.599991,471,471,1,scan_blocks_output/Try_diferentes_times/B3_0451_0500/00014_0479nm.npy
481,471,28.000000,18396.399982,471,472,2,scan_blocks_output/Try_diferentes_times/B3_0451_0500/00015_0481nm.npy
483,471,28.000000,18474.800010,471,472,2,scan_blocks_output/Try_diferentes_times/B3_0451_0500/00016_0483nm.npy
485,471,28.000000,18575.199986,471,472,2,scan_blocks_output/Try_diferentes_times/B3_0451_0500/00017_0485nm.npy
487,472,29.000000,18580.399981,471,473,3,scan_blocks_output/Try_diferentes_times/B3_0451_0500/00018_0487nm.npy
489,472,29.000000,18571.799998,472,473,2,scan_blocks_output/Try_diferentes_times/B3_0451_0500/00019_0489nm.npy
491,472,29.000000,18349.999998,472,473,2,scan_blocks_output/Try_diferentes_times/B3_0451_0500/00020_0491nm.npy
493,473,30.000000,18371.400005,473,473,1,scan_blocks_output/Try_diferentes_times/B3_0451_0500/00021_0493nm.npy
495,473,30.000000,18298.600000,473,473,1,scan_blocks_output/Try_diferentes_times/B3_0451_0500/00022_0495nm.npy
497,473,30.000000,18201.800002,473,473,1,scan_blocks_output/Try_diferentes_times/B3_0451_0500/00023_0497nm.npy
499,473,30.000000,18057.600026,473,473,1,scan_blocks_output/Try_diferentes_times/B3_0451_0500/00024_0499nm.npy
