wavelength_nm,x_centroid_px,x_peak_px,displacement_px,filepath
413,384.964301,389,0.000000,scan_blocks_output/B2_0411_0450/00001_0413nm.npy
415,386.057711,389,1.093410,scan_blocks_output/B2_0411_0450/00002_0415nm.npy
417,387.857635,389,2.893334,scan_blocks_output/B2_0411_0450/00003_0417nm.npy
419,392.657080,401,7.692778,scan_blocks_output/B2_0411_0450/00004_0419nm.npy
421,394.281244,402,9.316943,scan_blocks_output/B2_0411_0450/00005_0421nm.npy
423,397.396030,406,12.431729,scan_blocks_output/B2_0411_0450/00006_0423nm.npy
425,398.705227,406,13.740926,scan_blocks_output/B2_0411_0450/00007_0425nm.npy
427,400.861547,406,15.897245,scan_blocks_output/B2_0411_0450/00008_0427nm.npy
429,402.494533,406,17.530232,scan_blocks_output/B2_0411_0450/00009_0429nm.npy
431,407.078095,418,22.113794,scan_blocks_output/B2_0411_0450/00010_0431nm.npy
433,408.603300,418,23.638999,scan_blocks_output/B2_0411_0450/00011_0433nm.npy
435,410.426570,418,25.462269,scan_blocks_output/B2_0411_0450/00012_0435nm.npy
437,411.698073,418,26.733772,scan_blocks_output/B2_0411_0450/00013_0437nm.npy
439,413.377283,418,28.412982,scan_blocks_output/B2_0411_0450/00014_0439nm.npy
441,416.482985,423,31.518684,scan_blocks_output/B2_0411_0450/00015_0441nm.npy
443,417.678252,423,32.713951,scan_blocks_output/B2_0411_0450/00016_0443nm.npy
445,419.515629,423,34.551328,scan_blocks_output/B2_0411_0450/00017_0445nm.npy
447,420.894167,424,35.929865,scan_blocks_output/B2_0411_0450/00018_0447nm.npy
449,422.450638,425,37.486337,scan_blocks_output/B2_0411_0450/00019_0449nm.npy
451,423.627089,425,38.662788,scan_blocks_output/B3_0451_0500/00000_0451nm.npy
453,424.591367,425,39.627066,scan_blocks_output/B3_0451_0500/00001_0453nm.npy
455,425.417255,425,40.452953,scan_blocks_output/B3_0451_0500/00002_0455nm.npy
457,426.233934,425,41.269633,scan_blocks_output/B3_0451_0500/00003_0457nm.npy
459,427.293936,425,42.329634,scan_blocks_output/B3_0451_0500/00004_0459nm.npy
461,427.894832,425,42.930531,scan_blocks_output/B3_0451_0500/00005_0461nm.npy
463,430.871749,435,45.907448,scan_blocks_output/B3_0451_0500/00006_0463nm.npy
465,432.055019,435,47.090718,scan_blocks_output/B3_0451_0500/00007_0465nm.npy
467,433.053310,435,48.089009,scan_blocks_output/B3_0451_0500/00008_0467nm.npy
469,433.894852,435,48.930551,scan_blocks_output/B3_0451_0500/00009_0469nm.npy
471,434.492708,435,49.528407,scan_blocks_output/B3_0451_0500/00010_0471nm.npy
473,435.142363,435,50.178062,scan_blocks_output/B3_0451_0500/00011_0473nm.npy
475,435.658516,435,50.694215,scan_blocks_output/B3_0451_0500/00012_0475nm.npy
477,437.814426,439,52.850125,scan_blocks_output/B3_0451_0500/00013_0477nm.npy
479,438.339822,439,53.375521,scan_blocks_output/B3_0451_0500/00014_0479nm.npy
481,439.646041,441,54.681740,scan_blocks_output/B3_0451_0500/00015_0481nm.npy
483,440.253924,441,55.289622,scan_blocks_output/B3_0451_0500/00016_0483nm.npy
485,440.765077,441,55.800775,scan_blocks_output/B3_0451_0500/00017_0485nm.npy
487,441.352849,441,56.388548,scan_blocks_output/B3_0451_0500/00018_0487nm.npy
489,442.259664,441,57.295363,scan_blocks_output/B3_0451_0500/00019_0489nm.npy
