idx,wavelength_nm,grating,filter,n_avg,settle_s,filename_npy,timestamp_unix
0,1200,2,5,5,2.0,00000_1200nm.npy,1772232362.745742
1,1202,2,5,5,2.0,00001_1202nm.npy,1772232365.0691059
2,1204,2,5,5,2.0,00002_1204nm.npy,1772232367.3551724
3,1206,2,5,5,2.0,00003_1206nm.npy,1772232369.758626
4,1208,2,5,5,2.0,00004_1208nm.npy,1772232372.0420082
5,1210,2,5,5,2.0,00005_1210nm.npy,1772232374.3328621
6,1212,2,5,5,2.0,00006_1212nm.npy,1772232376.6180882
7,1214,2,5,5,2.0,00007_1214nm.npy,1772232378.911725
8,1216,2,5,5,2.0,00008_1216nm.npy,1772232381.197781
9,1218,2,5,5,2.0,00009_1218nm.npy,1772232383.485054
10,1220,2,5,5,2.0,00010_1220nm.npy,1772232385.7688718
11,1222,2,5,5,2.0,00011_1222nm.npy,1772232388.0513263
12,1224,2,5,5,2.0,00012_1224nm.npy,1772232390.3345041
13,1226,2,5,5,2.0,00013_1226nm.npy,1772232392.631655
14,1228,2,5,5,2.0,00014_1228nm.npy,1772232394.9138021
15,1230,2,5,5,2.0,00015_1230nm.npy,1772232397.2005973
16,1232,2,5,5,2.0,00016_1232nm.npy,1772232399.48246
17,1234,2,5,5,2.0,00017_1234nm.npy,1772232401.765231
18,1236,2,5,5,2.0,00018_1236nm.npy,1772232404.0524979
19,1238,2,5,5,2.0,00019_1238nm.npy,1772232406.3336036
20,1240,2,5,5,2.0,00020_1240nm.npy,1772232408.616925
21,1242,2,5,5,2.0,00021_1242nm.npy,1772232410.9010575
22,1244,2,5,5,2.0,00022_1244nm.npy,1772232413.1896522
23,1246,2,5,5,2.0,00023_1246nm.npy,1772232415.472905
24,1248,2,5,5,2.0,00024_1248nm.npy,1772232417.7578602
25,1250,2,5,5,2.0,00025_1250nm.npy,1772232420.0672724
26,1252,2,5,5,2.0,00026_1252nm.npy,1772232422.388513
27,1254,2,5,5,2.0,00027_1254nm.npy,1772232424.6777666
28,1256,2,5,5,2.0,00028_1256nm.npy,1772232426.9683971
29,1258,2,5,5,2.0,00029_1258nm.npy,1772232429.2526948
30,1260,2,5,5,2.0,00030_1260nm.npy,1772232431.541087
31,1262,2,5,5,2.0,00031_1262nm.npy,1772232433.8296611
32,1264,2,5,5,2.0,00032_1264nm.npy,1772232436.1138904
33,1266,2,5,5,2.0,00033_1266nm.npy,1772232438.401241
34,1268,2,5,5,2.0,00034_1268nm.npy,1772232440.7407005
35,1270,2,5,5,2.0,00035_1270nm.npy,1772232443.0450509
36,1272,2,5,5,2.0,00036_1272nm.npy,1772232445.3364885
37,1274,2,5,5,2.0,00037_1274nm.npy,1772232447.6574569
38,1276,2,5,5,2.0,00038_1276nm.npy,1772232449.944295
39,1278,2,5,5,2.0,00039_1278nm.npy,1772232452.2267137
40,1280,2,5,5,2.0,00040_1280nm.npy,1772232454.507598
41,1282,2,5,5,2.0,00041_1282nm.npy,1772232456.7884276
42,1284,2,5,5,2.0,00042_1284nm.npy,1772232459.07114
43,1286,2,5,5,2.0,00043_1286nm.npy,1772232461.353628
44,1288,2,5,5,2.0,00044_1288nm.npy,1772232463.636553
45,1290,2,5,5,2.0,00045_1290nm.npy,1772232465.9169636
46,1292,2,5,5,2.0,00046_1292nm.npy,1772232468.1989012
47,1294,2,5,5,2.0,00047_1294nm.npy,1772232470.4802911
48,1296,2,5,5,2.0,00048_1296nm.npy,1772232472.7604694
49,1298,2,5,5,2.0,00049_1298nm.npy,1772232475.0465124
50,1300,2,5,5,2.0,00050_1300nm.npy,1772232477.3463702
51,1302,2,5,5,2.0,00051_1302nm.npy,1772232479.6250107
