eje_bandas_1570,reflectancia_soil_1570
3.900000000000000000e+02,7.491097586730770530e-01
3.901835564053537269e+02,7.628930442529616718e-01
3.903671128107074537e+02,7.716849701840001741e-01
3.905506692160611806e+02,7.766077156846683538e-01
3.907342256214149074e+02,7.787834599734421159e-01
3.909177820267686343e+02,7.793343822687973654e-01
3.911013384321223612e+02,7.764761858316685528e-01
3.912848948374760880e+02,7.596105845487953756e-01
3.914684512428298149e+02,7.340409887203568351e-01
3.916520076481835417e+02,7.071948070252349616e-01
3.918355640535372686e+02,6.864994481423115635e-01
3.920191204588909955e+02,6.794383517410357287e-01
3.922026768642447223e+02,6.957286925477216277e-01
3.923862332695984492e+02,7.305811436942487580e-01
3.925697896749521760e+02,7.725361386685616338e-01
3.927533460803059029e+02,8.101341109586047695e-01
3.929369024856596297e+02,8.319154940523227904e-01
3.931204588910133566e+02,8.301500349022232772e-01
3.933040152963671403e+02,8.138849939003953704e-01
3.934875717017208672e+02,7.897098500244552621e-01
3.936711281070745940e+02,7.635328892527163402e-01
3.938546845124283209e+02,7.412623975634954343e-01
3.940382409177820477e+02,7.284876750802612433e-01
3.942217973231357746e+02,7.200337057581608358e-01
3.944053537284895015e+02,7.123831953870148892e-01
3.945889101338432283e+02,7.060628690791674877e-01
3.947724665391969552e+02,7.015994519469628266e-01
3.949560229445506820e+02,6.995196691027453229e-01
3.951395793499044089e+02,7.036458788097988970e-01
3.953231357552581358e+02,7.189629451432560936e-01
3.955066921606118626e+02,7.399622418748871278e-01
3.956902485659655895e+02,7.607465352941544801e-01
3.958738049713193163e+02,7.754185916905207421e-01
3.960573613766730432e+02,7.788369361488586273e-01
3.962409177820267701e+02,7.779933248071277951e-01
3.964244741873804969e+02,7.765030988679519908e-01
3.966080305927342238e+02,7.748243764225101193e-01
3.967915869980879506e+02,7.734152755619806419e-01
3.969751434034416775e+02,7.727339143775421304e-01
3.971586998087954044e+02,7.792601213607991406e-01
3.973422562141491312e+02,7.989675872176910110e-01
3.975258126195028581e+02,8.248462981159635499e-01
3.977093690248565849e+02,8.497151689165559629e-01
3.978929254302103118e+02,8.663931144804078999e-01
3.980764818355640386e+02,8.679590475150087414e-01
3.982600382409177655e+02,8.541320285426978742e-01
3.984435946462714924e+02,8.314231624506162044e-01
3.986271510516252192e+02,8.066265314977113521e-01
3.988107074569789461e+02,7.865362179429310485e-01
3.989942638623326729e+02,7.779463040452231359e-01
3.991778202676863998e+02,7.808495160292570070e-01
3.993613766730401267e+02,7.882951748098134814e-01
3.995449330783939104e+02,7.976929104771280921e-01
3.997284894837476372e+02,8.064579039811465844e-01
3.999120458891013641e+02,8.120053362718241408e-01
4.000956022944550909e+02,8.114105003907012836e-01
4.002791586998088178e+02,8.026000760659792732e-01
4.004627151051625447e+02,7.886638686983746815e-01
4.006462715105162715e+02,7.732166013430490370e-01
4.008298279158699984e+02,7.598729970551637569e-01
4.010133843212237252e+02,7.522276165785525270e-01
4.011969407265774521e+02,7.487918547914107492e-01
4.013804971319311790e+02,7.463555337914982157e-01
4.015640535372849058e+02,7.443716139613054672e-01
4.017476099426386327e+02,7.422930556833232663e-01
4.019311663479923595e+02,7.395728193400420425e-01
4.021147227533460864e+02,7.351965423653784582e-01
4.022982791586998133e+02,7.279022574000066914e-01
4.024818355640535401e+02,7.192872770519603831e-01
4.026653919694072670e+02,7.111726523144492607e-01
4.028489483747609938e+02,7.053794341806821633e-01
4.030325047801147207e+02,7.037213725078611537e-01
4.032160611854684475e+02,7.068405444329891596e-01
4.033996175908221744e+02,7.130261886679318817e-01
4.035831739961759013e+02,7.202959392750315493e-01
4.037667304015296281e+02,7.266674303166298365e-01
4.039502868068833550e+02,7.301582958550689728e-01
4.041338432122370818e+02,7.292769228807218784e-01
4.043173996175908087e+02,7.251270472833146741e-01
4.045009560229445356e+02,7.193589478980196850e-01
4.046845124282982624e+02,7.135993208885773598e-01
4.048680688336519893e+02,7.094748624187282582e-01
4.050516252390057161e+02,7.085325977420078303e-01
4.052351816443594430e+02,7.102985365489024039e-01
4.054187380497131699e+02,7.135866856991084362e-01
4.056022944550668967e+02,7.175154033957443778e-01
4.057858508604206236e+02,7.212030478419289015e-01
4.059694072657744073e+02,7.237679772407806800e-01
4.061529636711281341e+02,7.251468526986366570e-01
4.063365200764818610e+02,7.264093245475002902e-01
4.065200764818355879e+02,7.274982779760112983e-01
4.067036328871893147e+02,7.283275488235153583e-01
4.068871892925430416e+02,7.288109729293578143e-01
4.070707456978967684e+02,7.281574839923247167e-01
4.072543021032504953e+02,7.205459448024543745e-01
4.074378585086042222e+02,7.077840601874167969e-01
4.076214149139579490e+02,6.937195590251580279e-01
4.078049713193116759e+02,6.822001701936244444e-01
4.079885277246654027e+02,6.770736225707623124e-01
4.081720841300191296e+02,6.833257882777987735e-01
4.083556405353728564e+02,7.001405503666598973e-01
4.085391969407265833e+02,7.216103445635404512e-01
4.087227533460803102e+02,7.418161896449982917e-01
4.089063097514340370e+02,7.548391043875912754e-01
4.090898661567877639e+02,7.561193528499356997e-01
4.092734225621414907e+02,7.511138823151927157e-01
4.094569789674952176e+02,7.428073356222103518e-01
4.096405353728489445e+02,7.330440589625119019e-01
4.098240917782026713e+02,7.236683985276202158e-01
4.100076481835563982e+02,7.165204720616676903e-01
