eje_bandas_1570,reflectancia_soil_1570
3.900000000000000000e+02,7.439577220021029724e-01
3.901835564053537269e+02,7.640816347188529312e-01
3.903671128107074537e+02,7.797602107036353258e-01
3.905506692160611806e+02,7.911858594621334895e-01
3.907342256214149074e+02,7.985509905000311992e-01
3.909177820267686343e+02,8.020480133230120101e-01
3.911013384321223612e+02,8.004338749999803104e-01
3.912848948374760880e+02,7.888356298380152509e-01
3.914684512428298149e+02,7.712517657268824767e-01
3.916520076481835417e+02,7.527900108365381815e-01
3.918355640535372686e+02,7.385580933369383372e-01
3.920191204588909955e+02,7.336849991169059892e-01
3.922026768642447223e+02,7.432045867854620846e-01
3.923862332695984492e+02,7.635713162535933130e-01
3.925697896749521760e+02,7.880885597865141534e-01
3.927533460803059029e+02,8.100596896494394183e-01
3.929369024856596297e+02,8.227880781075832539e-01
3.931204588910133566e+02,8.222139120980432869e-01
3.933040152963671403e+02,8.145796766906380215e-01
3.934875717017208672e+02,8.026048641356762214e-01
3.936711281070745940e+02,7.884601190754410016e-01
3.938546845124283209e+02,7.743160861522160321e-01
3.940382409177820477e+02,7.621678912588234489e-01
3.942217973231357746e+02,7.488365504044894871e-01
3.944053537284895015e+02,7.340622398521388092e-01
3.945889101338432283e+02,7.201317597484455657e-01
3.947724665391969552e+02,7.093319102400836851e-01
3.949560229445506820e+02,7.039494914737275399e-01
3.951395793499044089e+02,7.073939586338218177e-01
3.953231357552581358e+02,7.209520420574894173e-01
3.955066921606118626e+02,7.400248228856183275e-01
3.956902485659655895e+02,7.598343520592193423e-01
3.958738049713193163e+02,7.756026805193030338e-01
3.960573613766730432e+02,7.830663943217295309e-01
3.962409177820267701e+02,7.865776104246754441e-01
3.964244741873804969e+02,7.889737632604362227e-01
3.966080305927342238e+02,7.910401910565209027e-01
3.967915869980879506e+02,7.935622320404387420e-01
3.969751434034416775e+02,7.973252244396988875e-01
3.971586998087954044e+02,8.060390262196166500e-01
3.973422562141491312e+02,8.222246593946824778e-01
3.975258126195028581e+02,8.414179836977916382e-01
3.977093690248565849e+02,8.590668019490454999e-01
3.978929254302103118e+02,8.706189169685453200e-01
3.980764818355640386e+02,8.713432184110789791e-01
3.982600382409177655e+02,8.587486730238452770e-01
3.984435946462714924e+02,8.380639654045040077e-01
3.986271510516252192e+02,8.154775861847862739e-01
3.988107074569789461e+02,7.971780259964235116e-01
3.989942638623326729e+02,7.893537754711467125e-01
3.991778202676863998e+02,7.918696635571632614e-01
3.993613766730401267e+02,7.983229996695436759e-01
3.995449330783939104e+02,8.064682489676792132e-01
3.997284894837476372e+02,8.140650850262922678e-01
3.999120458891013641e+02,8.188731814201131165e-01
4.000956022944550909e+02,8.178717854307304691e-01
4.002791586998088178e+02,8.071620088359362510e-01
4.004627151051625447e+02,7.904652397619685855e-01
4.006462715105162715e+02,7.724269151583504911e-01
4.008298279158699984e+02,7.576924719746045422e-01
4.010133843212237252e+02,7.508752264939740906e-01
4.011969407265774521e+02,7.488791930538886144e-01
4.013804971319311790e+02,7.472128403423630161e-01
4.015640535372849058e+02,7.459175182672146409e-01
4.017476099426386327e+02,7.450345767362609450e-01
4.019311663479923595e+02,7.446053656573194957e-01
4.021147227533460864e+02,7.447234198236712954e-01
4.022982791586998133e+02,7.454705288922863771e-01
4.024818355640535401e+02,7.465611738115749407e-01
4.026653919694072670e+02,7.476827532387440023e-01
4.028489483747609938e+02,7.485226658310007997e-01
4.030325047801147207e+02,7.487554195992964789e-01
4.032160611854684475e+02,7.477563432814071653e-01
4.033996175908221744e+02,7.457750704261874031e-01
4.035831739961759013e+02,7.434465563709014013e-01
4.037667304015296281e+02,7.414057564528129252e-01
4.039502868068833550e+02,7.402876260091865168e-01
4.041338432122370818e+02,7.402689714728040160e-01
4.043173996175908087e+02,7.404340476346777944e-01
4.045009560229445356e+02,7.406634944422944011e-01
4.046845124282982624e+02,7.408926042308234816e-01
