source_row,wavelength_nm,posicion_equivalente_soil,soil_reflectance_interpolada
1,400,1,0.25
9,415,5.47940074906367,0.25
15,427,8.83895131086142,0.25
18,433,10.5187265917603,0.379681647940075
22,441,12.7584269662921,0.5
28,453,16.1179775280899,0.5
31,459,17.7977528089888,0.5
36,469,20.5973782771536,0.5
40,477,22.8370786516854,0.5
48,493,27.3164794007491,0.5
51,499,28.9962546816479,0.5
52,501,29.5561797752809,0.5
73,543,41.314606741573,0.400000005960464
81,559,45.7940074906367,0.400000005960464
87,571,49.1535580524345,0.400000005960464
101,599,56.9925093632959,0.333333343267441
107,611,60.3520599250936,0.333333343267441
111,619,62.5917602996255,0.333333343267441
125,647,70.4307116104869,0.28571429848671
134,665,75.4700374531835,0.28571429848671
146,689,82.189138576779,0.25
151,699,84.9887640449438,0.25
166,731,93.3876404494382,0.300000011920929
178,755,100.106741573034,0.272727280855179
204,807,114.664794007491,0.266666680574417
210,819,118.024344569288,0.235294118523598
231,861,129.782771535581,0.229623690135916
256,911,143.780898876405,0.220296075002531
271,941,152.179775280899,0.229732065555755
291,981,163.378277153558,0.233582457297304
308,1015,172.897003745318,0.241595207082198
347,1093,194.734082397004,0.277411857682668
352,1103,197.533707865169,0.277394397037753
399,1197,223.850187265918,0.273195766889201
451,1301,252.966292134831,0.338951320460673
