source_row,wavelength_nm,selected_x
1,400,530
2,402,529
4,406,528
5,408,530
6,410,531
8,413,532
9,415,540
10,417,532
11,419,544
12,421,543
13,423,544
14,425,543
15,427,546
16,429,547
17,431,551
18,433,552
19,435,549
20,437,556
21,439,553
22,441,558
23,443,556
24,445,560
25,447,561
26,449,560
27,451,562
28,453,564
29,455,565
30,457,564
31,459,570
33,463,572
34,465,573
36,469,577
37,471,576
38,473,579
39,475,581
40,477,583
41,479,584
44,485,586
45,487,588
48,493,591
49,495,596
50,497,594
51,499,598
52,501,617
53,503,616
54,505,601
56,509,603
57,511,604
59,515,607
60,517,609
61,519,611
63,523,613
64,525,614
65,527,615
66,529,617
67,531,621
68,533,619
69,535,620
70,537,621
71,539,620
72,541,621
73,543,625
75,547,627
76,549,628
77,551,627
78,553,629
80,557,630
81,559,631
82,561,630
83,563,632
84,565,634
85,567,636
86,569,634
87,571,642
88,573,643
91,579,644
92,581,643
93,583,644
94,585,645
98,593,646
99,595,647
101,599,648
102,601,650
103,603,651
105,607,652
106,609,653
107,611,655
108,613,654
109,615,656
110,617,655
111,619,661
112,621,660
113,623,662
115,627,663
118,633,664
120,637,665
121,639,664
122,641,666
125,647,667
126,649,668
127,651,669
130,657,670
132,661,671
134,665,673
136,669,675
140,677,677
142,681,678
146,689,680
149,695,682
150,697,681
151,699,688
154,707,691
160,719,692
164,727,693
166,731,699
167,733,693
168,735,694
169,737,700
170,739,699
172,743,701
178,755,705
179,757,703
180,759,706
183,765,707
185,769,708
186,771,707
190,779,706
191,781,707
193,785,709
194,787,708
196,791,709
201,801,710
204,807,711
205,809,713
206,811,712
208,815,713
209,817,715
210,819,717
213,825,718
215,829,719
216,831,720
217,833,719
219,837,721
224,847,720
225,849,722
227,853,721
229,857,722
231,861,723
236,871,724
237,873,725
239,877,724
240,879,725
242,883,726
247,893,727
249,897,726
250,899,728
251,901,727
253,905,728
256,911,729
259,917,730
260,919,732
261,921,731
263,925,732
264,927,733
265,929,732
267,933,733
269,937,734
270,939,733
271,941,737
273,945,739
274,947,738
278,955,739
280,959,740
281,961,739
282,963,740
284,967,741
287,973,742
291,981,743
293,985,742
294,987,744
295,989,743
296,991,744
300,999,746
301,1001,745
302,1003,744
303,1005,748
304,1007,746
305,1009,745
307,1013,746
308,1015,751
309,1017,746
310,1019,751
311,1021,752
312,1023,746
313,1025,753
314,1027,752
315,1029,751
316,1031,753
317,1033,752
318,1035,753
319,1037,751
320,1039,753
321,1041,754
322,1043,752
323,1045,753
331,1061,754
335,1069,756
336,1071,754
338,1075,755
344,1087,756
347,1093,757
350,1099,759
351,1101,760
352,1103,763
353,1105,764
355,1109,763
358,1115,765
359,1117,763
360,1119,765
362,1123,764
363,1125,765
364,1127,764
366,1131,763
367,1133,765
369,1137,764
370,1139,765
372,1143,764
374,1147,765
376,1151,764
377,1153,765
380,1159,764
383,1165,766
384,1167,765
385,1169,766
389,1177,765
390,1179,766
391,1181,767
392,1183,765
393,1185,767
395,1189,768
396,1191,767
398,1195,766
399,1197,769
400,1199,770
401,1201,767
402,1203,772
403,1205,770
404,1207,771
405,1209,767
406,1211,768
407,1213,767
408,1215,771
409,1217,768
410,1219,770
411,1221,768
412,1223,772
413,1225,770
414,1227,769
415,1229,772
417,1233,769
418,1235,771
419,1237,772
420,1239,771
421,1241,768
422,1243,772
424,1247,770
425,1249,772
427,1253,771
429,1257,770
430,1259,771
431,1261,770
434,1267,771
435,1269,770
436,1271,769
439,1277,771
441,1281,770
443,1285,769
445,1289,771
446,1291,769
451,1301,778
452,1303,777
453,1305,778
454,1307,779
455,1309,778
456,1311,777
457,1313,778
464,1327,777
466,1331,778
467,1333,776
468,1335,778
472,1343,777
473,1345,778
474,1347,777
475,1349,778
477,1353,777
482,1363,778
483,1365,777
484,1367,776
485,1369,777
487,1373,776
492,1383,775
493,1385,774
494,1387,776
495,1389,775
499,1397,774
500,1399,775
501,1401,774
502,1403,775
503,1405,774
504,1407,775
505,1409,774
509,1417,773
513,1425,772
514,1427,773
516,1431,772
519,1437,771
520,1439,772
522,1443,770
523,1445,771
525,1449,772
526,1451,770
528,1455,769
529,1457,770
530,1459,768
531,1461,769
532,1463,767
535,1469,766
536,1471,744
