source_row,wavelength_nm,selected_x
1,400,530
4,406,528
5,408,530
8,413,532
9,415,540
10,417,532
11,419,544
15,427,546
17,431,551
19,435,549
20,437,556
21,439,553
22,441,558
23,443,556
24,445,560
27,451,562
28,453,564
31,459,570
33,463,572
36,469,577
38,473,579
39,475,581
40,477,583
44,485,586
45,487,588
48,493,591
49,495,596
50,497,594
51,499,598
52,501,617
54,505,601
56,509,603
59,515,607
60,517,609
61,519,611
63,523,613
65,527,615
66,529,617
67,531,621
68,533,619
70,537,621
73,543,625
75,547,627
78,553,629
81,559,631
84,565,634
85,567,636
86,569,634
87,571,642
91,579,644
98,593,646
101,599,648
102,601,650
105,607,652
107,611,655
111,619,661
115,627,663
120,637,665
125,647,667
127,651,669
132,661,671
134,665,673
136,669,675
140,677,677
146,689,680
149,695,682
151,699,688
154,707,691
164,727,693
166,731,699
167,733,693
169,737,700
178,755,705
179,757,703
180,759,706
185,769,708
190,779,706
193,785,709
204,807,711
205,809,713
209,817,715
210,819,717
215,829,719
219,837,721
231,861,723
237,873,725
247,893,727
256,911,729
260,919,732
269,937,734
271,941,737
273,945,739
284,967,741
291,981,743
300,999,746
302,1003,744
303,1005,748
304,1007,746
308,1015,751
309,1017,746
310,1019,751
312,1023,746
313,1025,753
315,1029,751
316,1031,753
319,1037,751
320,1039,753
335,1069,756
336,1071,754
344,1087,756
350,1099,759
352,1103,763
358,1115,765
359,1117,763
360,1119,765
366,1131,763
367,1133,765
391,1181,767
392,1183,765
393,1185,767
399,1197,769
401,1201,767
402,1203,772
403,1205,770
405,1209,767
408,1215,771
409,1217,768
410,1219,770
411,1221,768
412,1223,772
413,1225,770
415,1229,772
417,1233,769
418,1235,771
421,1241,768
422,1243,772
424,1247,770
425,1249,772
429,1257,770
451,1301,778
467,1333,776
468,1335,778
484,1367,776
493,1385,774
494,1387,776
499,1397,774
513,1425,772
522,1443,770
525,1449,772
526,1451,770
530,1459,768
535,1469,766
536,1471,744
