source_row,wavelength_nm,selected_x,delta_consecutive_x,delta_from_last_conserved_x,is_conserved
1,400,530,NaN,NaN,1
2,402,529,-1,-1,0
3,404,529,0,-1,0
4,406,528,-1,-2,0
5,408,530,2,0,0
6,410,531,1,1,0
7,411,531,0,1,0
8,413,532,1,2,0
9,415,540,8,10,1
10,417,532,-8,-8,1
11,419,544,12,12,1
12,421,543,-1,-1,0
13,423,544,1,0,0
14,425,543,-1,-1,0
15,427,546,3,2,0
16,429,547,1,3,1
17,431,551,4,4,1
18,433,552,1,1,0
19,435,549,-3,-2,0
20,437,556,7,5,1
21,439,553,-3,-3,1
22,441,558,5,5,1
23,443,556,-2,-2,0
24,445,560,4,2,0
25,447,561,1,3,1
26,449,560,-1,-1,0
27,451,562,2,1,0
28,453,564,2,3,1
29,455,565,1,1,0
30,457,564,-1,0,0
31,459,570,6,6,1
32,461,570,0,0,0
33,463,572,2,2,0
34,465,573,1,3,1
35,467,573,0,0,0
36,469,577,4,4,1
37,471,576,-1,-1,0
38,473,579,3,2,0
39,475,581,2,4,1
40,477,583,2,2,0
41,479,584,1,3,1
42,481,584,0,0,0
43,483,584,0,0,0
44,485,586,2,2,0
45,487,588,2,4,1
46,489,588,0,0,0
47,491,588,0,0,0
48,493,591,3,3,1
49,495,596,5,5,1
50,497,594,-2,-2,0
51,499,598,4,2,0
52,501,617,19,21,1
53,503,616,-1,-1,0
54,505,601,-15,-16,1
55,507,601,0,0,0
56,509,603,2,2,0
57,511,604,1,3,1
58,513,604,0,0,0
59,515,607,3,3,1
60,517,609,2,2,0
61,519,611,2,4,1
62,521,611,0,0,0
63,523,613,2,2,0
64,525,614,1,3,1
65,527,615,1,1,0
66,529,617,2,3,1
67,531,621,4,4,1
68,533,619,-2,-2,0
69,535,620,1,-1,0
70,537,621,1,0,0
71,539,620,-1,-1,0
72,541,621,1,0,0
73,543,625,4,4,1
74,545,625,0,0,0
75,547,627,2,2,0
76,549,628,1,3,1
77,551,627,-1,-1,0
78,553,629,2,1,0
79,555,629,0,1,0
80,557,630,1,2,0
81,559,631,1,3,1
82,561,630,-1,-1,0
83,563,632,2,1,0
84,565,634,2,3,1
85,567,636,2,2,0
86,569,634,-2,0,0
87,571,642,8,8,1
88,573,643,1,1,0
89,575,643,0,1,0
90,577,643,0,1,0
91,579,644,1,2,0
92,581,643,-1,1,0
93,583,644,1,2,0
94,585,645,1,3,1
95,587,645,0,0,0
96,589,645,0,0,0
97,591,645,0,0,0
98,593,646,1,1,0
99,595,647,1,2,0
100,597,647,0,2,0
101,599,648,1,3,1
102,601,650,2,2,0
103,603,651,1,3,1
104,605,651,0,0,0
105,607,652,1,1,0
106,609,653,1,2,0
107,611,655,2,4,1
108,613,654,-1,-1,0
109,615,656,2,1,0
110,617,655,-1,0,0
